index,name,price,product_url
13,Mens Statix M Sd Running Shoes,"₹1,099",https://www.amazon.com/Adidas-Statix-Running-EW5539_CBLACK-GLOORA_/dp/B08FZTPQDV/ref=sr_1_13?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-13
14,Mens Sx0677g Running,₹940,https://www.amazon.com/Sparx-SM-677-Turkey-Sports-SX0677G_TBBK_0008/dp/B09BZQNJFY/ref=sr_1_14?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-14
15,Mens Bull Pro Sneaker,₹799,https://www.amazon.com/Campus-PRO-L-Gry-Running-Shoes/dp/B09RBFC7BY/ref=sr_1_15?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-15
16,Men's Snatch V2 Sneakers,"₹1,499",https://www.amazon.com/Puma-Snatch-Black-Puma-White-Sneaker/dp/B09RGG7JD2/ref=sr_1_16?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-16
17,"Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's","₹1,096",https://www.amazon.com/ASIAN-INNOVA-04-Running-Sneaker-Technology/dp/B09X5WQGJB/ref=sr_1_17?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-17
18,Men's First Running Shoes,"₹1,249",https://www.amazon.com/Campus-First-L-Gry-Running-Shoes/dp/B08WQ4M4W4/ref=sr_1_18?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-18
19,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Shoes for Men's & Boy's",₹721,https://www.amazon.com/ASIAN-Delta-20-Running-Walking-Lightweight/dp/B09WLLTB4B/ref=sr_1_19?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-19
20,"Men's Prime-02 Sports Running Shoes Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym",₹520,https://www.amazon.com/ASIAN-Prime-02-Sneakers-Lightweight-Numeric_10/dp/B0B6RJJTW6/ref=sr_1_20?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-20
21,Mens R1014 795 Running Shoes,₹999,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfbXRmOjIwMDc3ODAzNjgxMjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FFURO-Chief-R1014-Running-Sport%2Fdp%2FB0791C2L9W%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-21-spons%26psc%3D1
22,"Exclusive Trendy, Casual, Sports, Running, Shoes for Men",₹299,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfbXRmOjIwMDgwODAyNzUzNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FBRUTON-Exclusive-Trendy-Running-Shoes%2Fdp%2FB0B2JJDLLF%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-22-spons%26psc%3D1
23,"Men's Wind-01 Sports Walking Shoes Latest Stylish Casual Loafer,Slip-on Lightweight Shoes for Running, Walking, Gym Shoes…",₹547,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfbXRmOjIwMDc1NjMxNzUwMjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FASIAN-Wind-01-Walking-Lightweight-Numeric_8%2Fdp%2FB0BBZZP3YC%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-23-spons%26psc%3D1
24,Men's S-Cross Running Shoes,₹863,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfbXRmOjIwMDI4NDcyMjgyMTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCampus-S-Cross-Running-Shoes-CG-110%2Fdp%2FB07VBG1TRG%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-24-spons%26psc%3D1
25,Men's 3392 Casual Shoes,₹959,https://www.amazon.com/Centrino-Mens-Chicku-Moccasins-9-3392-03/dp/B08NZ9PPCH/ref=sr_1_25?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-25
26,Sports and Running Shoes for Men BRD-564,₹289,https://www.amazon.com/Birdy-Sports-Running-Shoes-BRD-564_10/dp/B09J2T35D6/ref=sr_1_26?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-26
27,Men's Everest Running Shoes,₹974,https://www.amazon.com/Campus-Everest-D-Gry-Running-Shoes/dp/B08WPBJZGK/ref=sr_1_27?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-27
28,Men's Boss-Astute Uniform Dress Shoe,₹650,https://www.amazon.com/BATA-Boss-Astute-Uniform-Shoe-7-8516056/dp/B09BFH917J/ref=sr_1_28?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-28
29,"Men's Rider-01 Men Shoes for Running with Breathable Knitted Upper | Ideal for Sports, Gym, Training, Running & Much More | Easily Washable | Lightweight & Orthopedic memory shoes for men and boys",₹868,https://www.amazon.com/ASIAN-Rider-01-Breathable-Lightweight-Orthopedic/dp/B09S7NFVSR/ref=sr_1_29?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-29
